complaint_id,complaint_date,market,channel,product_line,root_cause,severity,resolution_days,resolved,escalated_to_regulator,repeat_complaint
C106971,2024-01-01,US,Chat,Card Services,Rewards/points not credited,Low,2.2,True,False,False
C108848,2024-01-01,US,Call,Billing & Statements,Rewards/points not credited,Low,1.3,True,False,False
C131265,2024-01-01,US,Email,Digital/App,Agent miscommunication,Low,1.8,True,False,False
C108591,2024-01-01,SG,Call,Rewards & Membership,Billing/charge discrepancy,Medium,6.9,True,False,False
C129779,2024-01-01,UK,Call,Digital/App,Billing/charge discrepancy,Medium,1.5,True,False,False
C108921,2024-01-01,US,Call,Card Services,Billing/charge discrepancy,Medium,2.1,True,False,True
C137439,2024-01-01,US,Email,Rewards & Membership,Delayed dispute resolution,Low,2.6,True,False,False
C104117,2024-01-01,US,Call,Merchant Services,Billing/charge discrepancy,Medium,4.8,True,False,True
C130851,2024-01-01,AU,Call,Merchant Services,Agent miscommunication,Low,5.3,True,False,True
C149312,2024-01-01,MX,Call,Digital/App,Privacy/data handling concern,Medium,3.4,True,False,False
C118662,2024-01-01,US,Call,Digital/App,Billing/charge discrepancy,Low,2.1,False,False,False
C127183,2024-01-01,UK,Chat,Merchant Services,Billing/charge discrepancy,Medium,2.7,True,False,False
C102685,2024-01-01,US,Call,Travel & Lifestyle,Other,Medium,3.8,True,False,False
C101328,2024-01-01,UK,Call,Billing & Statements,Privacy/data handling concern,Low,3.5,True,False,False
C118906,2024-01-01,UK,Email,Merchant Services,Agent miscommunication,Low,6.6,True,False,False
C134113,2024-01-01,MX,Chat,Rewards & Membership,Billing/charge discrepancy,Low,7.7,True,False,False
C130584,2024-01-01,IN,Call,Digital/App,Rewards/points not credited,Low,1.5,True,False,False
C101027,2024-01-01,SG,Chat,Card Services,Billing/charge discrepancy,Medium,5.0,True,False,True
C109258,2024-01-01,UK,Social,Merchant Services,Billing/charge discrepancy,High,2.1,True,False,False
C102761,2024-01-01,US,Email,Rewards & Membership,Privacy/data handling concern,Medium,2.6,True,False,False
C128375,2024-01-01,MX,Call,Digital/App,Fraud/unauthorized charge handling,Medium,10.6,True,False,False
C141393,2024-01-01,SG,Call,Travel & Lifestyle,Rewards/points not credited,Low,3.8,True,False,True
C140801,2024-01-01,UK,Call,Card Services,Delayed dispute resolution,Low,4.7,True,False,False
C116463,2024-01-01,SG,Call,Merchant Services,Billing/charge discrepancy,Medium,5.4,True,False,False
C105600,2024-01-01,UK,Call,Rewards & Membership,Delayed dispute resolution,High,14.8,True,False,False
C101550,2024-01-01,US,Call,Rewards & Membership,Billing/charge discrepancy,Low,4.4,True,False,False
C127199,2024-01-01,UK,Email,Travel & Lifestyle,App/digital platform bug,Low,7.1,True,False,False
C146197,2024-01-01,IN,Call,Rewards & Membership,Delayed dispute resolution,Low,4.2,True,False,False
C112992,2024-01-01,US,Call,Travel & Lifestyle,Fraud/unauthorized charge handling,Medium,3.3,True,False,False
C138346,2024-01-02,CA,Email,Merchant Services,Other,Medium,2.2,False,False,True
C100089,2024-01-02,MX,Call,Travel & Lifestyle,Billing/charge discrepancy,Low,0.8,True,False,False
C118153,2024-01-02,UK,Call,Merchant Services,Billing/charge discrepancy,Low,2.3,True,False,False
C127566,2024-01-02,CA,Chat,Card Services,Other,Low,3.7,True,False,False
C111403,2024-01-02,IN,Call,Travel & Lifestyle,Billing/charge discrepancy,Medium,1.4,True,False,False
C124682,2024-01-02,AU,Call,Travel & Lifestyle,Billing/charge discrepancy,Low,2.8,True,True,False
C124895,2024-01-02,US,Email,Billing & Statements,Delayed dispute resolution,Low,10.2,True,False,False
C125445,2024-01-02,US,Social,Card Services,Rewards/points not credited,Low,3.5,True,False,False
C113780,2024-01-02,MX,Call,Travel & Lifestyle,App/digital platform bug,Low,18.2,False,False,False
C124933,2024-01-02,SG,Call,Merchant Services,Privacy/data handling concern,Medium,5.3,True,True,False
C125986,2024-01-02,IN,Social,Merchant Services,Rewards/points not credited,Medium,2.0,True,False,False
C137617,2024-01-02,US,Email,Rewards & Membership,Fraud/unauthorized charge handling,Low,6.2,True,False,False
C130913,2024-01-02,CA,Email,Card Services,Agent miscommunication,High,1.6,True,False,False
C123532,2024-01-02,US,Call,Merchant Services,Rewards/points not credited,Medium,2.2,True,False,True
C130911,2024-01-02,US,Call,Rewards & Membership,Billing/charge discrepancy,Low,4.2,True,False,True
C133878,2024-01-02,US,Chat,Rewards & Membership,Billing/charge discrepancy,High,8.4,True,False,False
C130848,2024-01-02,IN,Email,Rewards & Membership,Delayed dispute resolution,High,2.8,True,False,False
C148703,2024-01-02,AU,Call,Rewards & Membership,Billing/charge discrepancy,Medium,4.9,True,False,False
C109186,2024-01-02,US,Call,Card Services,App/digital platform bug,Low,41.2,False,True,False
C106930,2024-01-02,AU,Call,Billing & Statements,Delayed dispute resolution,Low,12.8,True,False,False
C119476,2024-01-02,UK,Call,Digital/App,Delayed dispute resolution,Low,19.9,True,False,False
C109613,2024-01-02,UK,Call,Billing & Statements,App/digital platform bug,Medium,5.9,True,False,False
C100280,2024-01-02,AU,Call,Digital/App,App/digital platform bug,High,2.9,True,False,False
C141167,2024-01-02,UK,Call,Digital/App,Rewards/points not credited,Low,1.9,False,False,False
C102599,2024-01-02,SG,Chat,Card Services,Delayed dispute resolution,Low,3.5,True,False,False
C102900,2024-01-02,US,Chat,Merchant Services,App/digital platform bug,High,18.9,True,False,False
C113891,2024-01-02,US,Chat,Card Services,App/digital platform bug,Low,3.1,True,False,False
C134709,2024-01-02,AU,Chat,Digital/App,Privacy/data handling concern,Low,5.1,True,True,False
C140372,2024-01-02,UK,Chat,Card Services,Fraud/unauthorized charge handling,Medium,12.5,True,False,False
C144718,2024-01-02,US,Chat,Digital/App,Delayed dispute resolution,High,4.4,True,True,False
C110872,2024-01-02,UK,Email,Merchant Services,Privacy/data handling concern,Low,1.8,True,False,False
C114027,2024-01-02,IN,Email,Rewards & Membership,Billing/charge discrepancy,Medium,3.5,True,False,False
C102432,2024-01-02,UK,Call,Rewards & Membership,Billing/charge discrepancy,Low,9.0,True,False,False
C149216,2024-01-02,US,Call,Merchant Services,Delayed dispute resolution,Low,6.3,True,False,False
C110797,2024-01-02,US,Call,Card Services,Privacy/data handling concern,Low,2.6,True,False,False
C121924,2024-01-02,US,Call,Card Services,Billing/charge discrepancy,Low,0.7,True,False,True
C132909,2024-01-02,SG,Email,Rewards & Membership,Delayed dispute resolution,Medium,4.9,True,False,False
C100359,2024-01-02,US,Call,Travel & Lifestyle,Billing/charge discrepancy,High,1.2,True,False,False
C136800,2024-01-02,AU,Call,Card Services,Fraud/unauthorized charge handling,Low,7.2,True,False,False
C147333,2024-01-03,AU,Chat,Billing & Statements,Agent miscommunication,Low,8.9,True,False,False
C135288,2024-01-03,MX,Call,Merchant Services,Billing/charge discrepancy,Medium,2.4,True,False,False
C110596,2024-01-03,SG,Call,Rewards & Membership,Billing/charge discrepancy,Low,1.8,True,False,False
C135468,2024-01-03,US,Chat,Digital/App,Privacy/data handling concern,Medium,1.1,True,False,True
C129656,2024-01-03,US,Chat,Card Services,Agent miscommunication,Low,5.8,True,False,False
C135001,2024-01-03,US,Call,Rewards & Membership,Rewards/points not credited,Low,3.9,True,False,False
C130910,2024-01-03,UK,Email,Billing & Statements,Delayed dispute resolution,High,4.2,True,False,False
C127397,2024-01-03,UK,Call,Travel & Lifestyle,App/digital platform bug,Medium,38.7,True,False,False
C127073,2024-01-03,US,Call,Merchant Services,Agent miscommunication,Low,1.5,True,False,False
C108873,2024-01-03,SG,Call,Rewards & Membership,Billing/charge discrepancy,Low,2.8,True,False,False
C146826,2024-01-03,CA,Social,Billing & Statements,App/digital platform bug,Low,3.7,True,False,False
C113138,2024-01-03,AU,Email,Rewards & Membership,Billing/charge discrepancy,Medium,1.5,True,False,True
C146665,2024-01-03,MX,Chat,Travel & Lifestyle,Billing/charge discrepancy,Medium,1.3,True,False,False
C132234,2024-01-03,CA,Chat,Billing & Statements,Delayed dispute resolution,Medium,0.9,True,False,False
C140335,2024-01-03,AU,Chat,Travel & Lifestyle,Rewards/points not credited,Medium,0.9,True,False,False
C105054,2024-01-03,AU,Email,Rewards & Membership,Billing/charge discrepancy,Medium,1.6,True,False,False
C132863,2024-01-03,CA,Email,Digital/App,Billing/charge discrepancy,Medium,2.6,True,False,False
C116884,2024-01-03,MX,Call,Merchant Services,Fraud/unauthorized charge handling,High,6.8,True,True,False
C126354,2024-01-03,US,Email,Merchant Services,Billing/charge discrepancy,Medium,9.7,True,False,False
C114982,2024-01-03,IN,Email,Rewards & Membership,App/digital platform bug,Low,12.3,True,False,False
C117477,2024-01-03,US,Email,Digital/App,Delayed dispute resolution,High,15.3,True,False,True
C117585,2024-01-03,US,Chat,Merchant Services,Billing/charge discrepancy,Medium,2.0,True,False,False
C149700,2024-01-03,CA,Email,Digital/App,Delayed dispute resolution,Medium,17.5,True,False,False
C144279,2024-01-03,AU,Call,Rewards & Membership,App/digital platform bug,High,10.3,False,False,False
C101203,2024-01-03,US,Social,Digital/App,Agent miscommunication,Low,2.6,False,False,False
C138766,2024-01-03,US,Email,Billing & Statements,Other,Low,0.6,True,False,False
C118535,2024-01-03,US,Email,Travel & Lifestyle,Delayed dispute resolution,Low,20.8,True,False,False
C123991,2024-01-03,IN,Email,Card Services,App/digital platform bug,Medium,15.7,True,False,False
C106012,2024-01-03,US,Chat,Rewards & Membership,Billing/charge discrepancy,High,0.3,True,True,False
C102024,2024-01-03,UK,Email,Digital/App,Rewards/points not credited,High,1.0,True,False,False
C106274,2024-01-03,AU,Call,Merchant Services,Other,Low,2.7,True,False,False
C118450,2024-01-03,SG,Call,Travel & Lifestyle,Delayed dispute resolution,Medium,3.8,True,False,False
C102104,2024-01-03,US,Call,Merchant Services,Agent miscommunication,Low,1.5,True,False,False
C149464,2024-01-03,IN,Call,Digital/App,Other,Low,10.0,True,False,True
C117941,2024-01-03,US,Chat,Rewards & Membership,Agent miscommunication,Low,1.6,True,False,False
C118468,2024-01-03,CA,Email,Rewards & Membership,Billing/charge discrepancy,Low,3.3,True,False,False
C124313,2024-01-03,SG,Email,Billing & Statements,Agent miscommunication,High,3.1,True,False,False
C102836,2024-01-03,MX,Chat,Rewards & Membership,Rewards/points not credited,Low,2.7,True,False,False
C119988,2024-01-03,IN,Email,Card Services,Delayed dispute resolution,High,18.6,True,False,False
C142890,2024-01-03,IN,Email,Merchant Services,Rewards/points not credited,Low,5.9,True,False,False
C105264,2024-01-03,AU,Call,Rewards & Membership,Billing/charge discrepancy,Low,1.8,True,False,False
C124687,2024-01-03,UK,Chat,Merchant Services,Delayed dispute resolution,High,23.9,True,False,False
C113234,2024-01-03,AU,Call,Merchant Services,Billing/charge discrepancy,Low,1.3,True,False,False
C117693,2024-01-04,UK,Email,Card Services,Fraud/unauthorized charge handling,Low,14.8,True,False,False
C130773,2024-01-04,US,Call,Travel & Lifestyle,Billing/charge discrepancy,Low,2.8,True,False,False
C105483,2024-01-04,IN,Chat,Travel & Lifestyle,Fraud/unauthorized charge handling,Medium,5.0,False,False,False
C130305,2024-01-04,US,Social,Rewards & Membership,Billing/charge discrepancy,High,1.2,True,False,False
C148638,2024-01-04,US,Call,Merchant Services,Rewards/points not credited,Medium,1.8,True,False,False
C141546,2024-01-04,US,Email,Card Services,Fraud/unauthorized charge handling,Low,8.4,True,True,False
C101298,2024-01-04,AU,Call,Rewards & Membership,Billing/charge discrepancy,Low,2.8,True,False,False
C118039,2024-01-04,US,Call,Travel & Lifestyle,Billing/charge discrepancy,Medium,1.7,True,False,False
C134181,2024-01-04,US,Chat,Billing & Statements,Delayed dispute resolution,Medium,3.6,True,False,True
C119138,2024-01-04,US,Call,Travel & Lifestyle,Agent miscommunication,Low,3.2,True,False,True
C110296,2024-01-04,US,Call,Travel & Lifestyle,Privacy/data handling concern,Medium,0.1,True,False,False
C109909,2024-01-04,US,Email,Travel & Lifestyle,App/digital platform bug,Low,1.6,True,False,True
C126225,2024-01-04,IN,Chat,Rewards & Membership,Rewards/points not credited,High,3.2,True,False,False
C146308,2024-01-04,US,Chat,Merchant Services,App/digital platform bug,High,4.9,True,False,False
C137670,2024-01-04,MX,Call,Digital/App,Other,Medium,7.4,True,False,False
C136259,2024-01-04,US,Call,Billing & Statements,Billing/charge discrepancy,Medium,3.8,True,False,False
C113162,2024-01-04,SG,Social,Billing & Statements,Billing/charge discrepancy,Low,2.2,True,False,False
C147209,2024-01-04,AU,Email,Billing & Statements,Rewards/points not credited,Low,0.2,True,False,False
C127705,2024-01-04,US,Chat,Billing & Statements,Delayed dispute resolution,Low,1.1,True,False,True
C123840,2024-01-04,IN,Chat,Rewards & Membership,Agent miscommunication,Medium,10.9,True,False,False
C138854,2024-01-04,IN,Email,Merchant Services,Agent miscommunication,Medium,2.6,True,False,False
C140760,2024-01-04,MX,Chat,Rewards & Membership,Agent miscommunication,Low,5.9,False,False,False
C114377,2024-01-04,UK,Call,Travel & Lifestyle,App/digital platform bug,Low,11.2,True,False,False
C139304,2024-01-04,IN,Email,Merchant Services,Delayed dispute resolution,Medium,18.5,True,False,False
C122836,2024-01-04,US,Chat,Rewards & Membership,Billing/charge discrepancy,Low,1.7,True,False,False
C139342,2024-01-04,US,Social,Merchant Services,Billing/charge discrepancy,Medium,6.4,True,False,False
C101774,2024-01-04,US,Call,Travel & Lifestyle,Delayed dispute resolution,Medium,3.7,True,False,True
C144878,2024-01-04,CA,Call,Rewards & Membership,Rewards/points not credited,Medium,11.9,False,False,False
C110379,2024-01-04,SG,Call,Travel & Lifestyle,Billing/charge discrepancy,Low,2.2,True,False,False
C114991,2024-01-04,MX,Call,Travel & Lifestyle,Fraud/unauthorized charge handling,High,3.1,True,False,False
C135125,2024-01-04,US,Email,Digital/App,Billing/charge discrepancy,Medium,4.8,True,False,False
C144739,2024-01-04,US,Chat,Rewards & Membership,Billing/charge discrepancy,Medium,0.5,True,False,False
C139158,2024-01-04,IN,Call,Billing & Statements,Delayed dispute resolution,Medium,16.0,False,False,False
C141315,2024-01-04,AU,Email,Travel & Lifestyle,Billing/charge discrepancy,Medium,2.8,True,False,False
C142699,2024-01-04,SG,Email,Travel & Lifestyle,Rewards/points not credited,Medium,2.2,True,False,False
C107412,2024-01-04,US,Chat,Merchant Services,Other,Low,0.7,False,False,False
C131436,2024-01-04,CA,Call,Billing & Statements,Billing/charge discrepancy,Low,1.6,False,False,False
C132402,2024-01-04,US,Email,Digital/App,Agent miscommunication,Low,1.6,True,False,False
C131684,2024-01-04,US,Call,Travel & Lifestyle,Other,Low,5.3,True,False,False
C107701,2024-01-04,US,Call,Digital/App,Billing/charge discrepancy,High,4.4,True,False,False
C130916,2024-01-04,US,Call,Rewards & Membership,App/digital platform bug,Medium,12.7,True,False,False
C119792,2024-01-05,MX,Call,Travel & Lifestyle,Billing/charge discrepancy,Low,8.2,True,False,False
C116048,2024-01-05,US,Email,Card Services,Billing/charge discrepancy,Low,2.1,True,False,False
C131292,2024-01-05,US,Chat,Travel & Lifestyle,Delayed dispute resolution,Low,3.5,True,False,False
C121065,2024-01-05,US,Call,Rewards & Membership,Agent miscommunication,High,3.8,True,True,False
C100564,2024-01-05,AU,Chat,Travel & Lifestyle,Billing/charge discrepancy,Medium,1.1,True,False,False
C131851,2024-01-05,IN,Chat,Billing & Statements,Rewards/points not credited,Low,8.5,True,False,False
C123237,2024-01-05,MX,Email,Travel & Lifestyle,Privacy/data handling concern,Medium,6.5,True,False,False
C133999,2024-01-05,IN,Call,Card Services,Agent miscommunication,Medium,3.3,True,False,False
C142838,2024-01-05,UK,Call,Card Services,App/digital platform bug,Low,13.6,True,False,False
C141313,2024-01-05,CA,Call,Rewards & Membership,Fraud/unauthorized charge handling,High,8.0,True,False,True
C131353,2024-01-05,IN,Chat,Travel & Lifestyle,Billing/charge discrepancy,High,4.7,True,False,False
C126436,2024-01-05,CA,Call,Billing & Statements,Delayed dispute resolution,Low,19.6,False,False,False
C148556,2024-01-05,US,Call,Digital/App,Privacy/data handling concern,Medium,4.3,True,False,False
C142231,2024-01-05,UK,Social,Rewards & Membership,Billing/charge discrepancy,Low,1.7,True,False,False
C107301,2024-01-05,US,Call,Card Services,Rewards/points not credited,Low,2.8,True,False,False
C100981,2024-01-05,US,Chat,Card Services,Billing/charge discrepancy,Medium,1.1,True,False,False
C146680,2024-01-05,IN,Chat,Merchant Services,Fraud/unauthorized charge handling,Low,23.5,True,False,False
C115809,2024-01-05,AU,Call,Rewards & Membership,Delayed dispute resolution,Medium,1.7,True,False,False
C107113,2024-01-05,US,Call,Card Services,Billing/charge discrepancy,Low,4.2,True,False,False
C132419,2024-01-05,SG,Call,Travel & Lifestyle,Delayed dispute resolution,High,4.8,True,True,False
C117764,2024-01-05,AU,Social,Card Services,Agent miscommunication,Medium,1.1,True,False,True
C145163,2024-01-05,MX,Chat,Rewards & Membership,Agent miscommunication,Medium,0.8,True,False,False
C105233,2024-01-05,AU,Email,Digital/App,Other,High,0.8,False,False,False
C129060,2024-01-05,IN,Email,Travel & Lifestyle,Billing/charge discrepancy,Low,0.4,True,False,False
C133428,2024-01-05,AU,Call,Merchant Services,Privacy/data handling concern,Medium,2.1,True,True,False
C101143,2024-01-05,US,Call,Merchant Services,Billing/charge discrepancy,Low,2.0,True,False,False
C109765,2024-01-05,UK,Call,Billing & Statements,Agent miscommunication,Medium,1.0,True,False,False
C100176,2024-01-05,US,Social,Travel & Lifestyle,Billing/charge discrepancy,Low,2.2,True,False,False
C144711,2024-01-05,US,Call,Billing & Statements,Billing/charge discrepancy,Medium,0.8,True,False,True
C117307,2024-01-05,US,Call,Digital/App,App/digital platform bug,Low,6.3,True,False,False
C133334,2024-01-05,MX,Call,Merchant Services,App/digital platform bug,Low,26.0,True,False,False
C146171,2024-01-05,IN,Email,Travel & Lifestyle,App/digital platform bug,High,10.7,True,False,False
C130938,2024-01-05,US,Email,Travel & Lifestyle,Privacy/data handling concern,Medium,7.9,True,False,False
C143028,2024-01-05,IN,Call,Card Services,Rewards/points not credited,Medium,2.6,True,False,False
C123459,2024-01-05,US,Call,Billing & Statements,Billing/charge discrepancy,High,1.6,True,False,False
C141710,2024-01-05,US,Email,Billing & Statements,Billing/charge discrepancy,Low,7.8,True,False,False
C130893,2024-01-05,SG,Call,Digital/App,Delayed dispute resolution,Medium,4.6,True,False,True
C142312,2024-01-05,IN,Social,Travel & Lifestyle,Billing/charge discrepancy,Low,10.2,True,False,False
C135029,2024-01-05,IN,Call,Billing & Statements,Delayed dispute resolution,High,14.2,True,True,False
C120774,2024-01-05,AU,Call,Billing & Statements,App/digital platform bug,Low,10.2,True,True,False
C101397,2024-01-05,AU,Call,Card Services,App/digital platform bug,High,9.8,True,False,False
C143725,2024-01-05,AU,Call,Rewards & Membership,Billing/charge discrepancy,Medium,1.4,True,False,False
C107193,2024-01-05,US,Social,Rewards & Membership,Rewards/points not credited,Medium,1.1,True,True,False
C147855,2024-01-05,CA,Chat,Rewards & Membership,Delayed dispute resolution,High,11.6,True,False,False
C124404,2024-01-06,SG,Call,Card Services,Billing/charge discrepancy,Medium,0.5,True,False,False
C129198,2024-01-06,SG,Call,Card Services,Rewards/points not credited,High,3.6,True,False,False
C107415,2024-01-06,US,Chat,Travel & Lifestyle,Privacy/data handling concern,Medium,2.4,True,False,False
C139769,2024-01-06,US,Email,Digital/App,Privacy/data handling concern,Low,6.3,True,False,False
C134917,2024-01-06,UK,Email,Travel & Lifestyle,Billing/charge discrepancy,Low,0.5,True,False,False
C137802,2024-01-06,US,Email,Card Services,Privacy/data handling concern,Medium,3.6,True,False,False
C121206,2024-01-06,US,Social,Travel & Lifestyle,Agent miscommunication,High,4.2,True,False,False
C121207,2024-01-06,SG,Call,Travel & Lifestyle,Delayed dispute resolution,Low,10.9,True,False,False
C146010,2024-01-06,US,Email,Rewards & Membership,Agent miscommunication,Low,1.8,True,False,False
C125889,2024-01-06,AU,Chat,Travel & Lifestyle,Fraud/unauthorized charge handling,Medium,3.2,True,False,False
C149747,2024-01-06,UK,Call,Digital/App,Other,Low,2.1,True,False,False
C129358,2024-01-06,UK,Email,Travel & Lifestyle,Privacy/data handling concern,Medium,1.5,True,False,False
C112488,2024-01-06,UK,Call,Merchant Services,Agent miscommunication,High,2.7,True,False,False
C107427,2024-01-06,CA,Chat,Rewards & Membership,Billing/charge discrepancy,High,2.9,True,False,False
C132693,2024-01-06,US,Email,Card Services,App/digital platform bug,Low,13.3,True,False,False
C144411,2024-01-06,MX,Chat,Digital/App,Agent miscommunication,Medium,2.6,True,False,False
C146079,2024-01-06,IN,Call,Merchant Services,Rewards/points not credited,Medium,4.1,True,False,False
C125163,2024-01-06,SG,Email,Merchant Services,Billing/charge discrepancy,Medium,2.2,True,False,False
C118506,2024-01-06,UK,Email,Rewards & Membership,Delayed dispute resolution,Low,8.1,False,False,False
C143880,2024-01-06,AU,Email,Rewards & Membership,Billing/charge discrepancy,Low,4.9,True,False,True
C138707,2024-01-06,UK,Call,Billing & Statements,Agent miscommunication,Low,4.8,True,True,True
C147159,2024-01-06,US,Call,Billing & Statements,Fraud/unauthorized charge handling,Medium,5.2,True,False,False
C133043,2024-01-06,UK,Call,Card Services,Billing/charge discrepancy,High,5.7,True,False,False
C118088,2024-01-06,US,Call,Travel & Lifestyle,Billing/charge discrepancy,Medium,1.5,True,False,False
C145360,2024-01-06,UK,Social,Digital/App,Fraud/unauthorized charge handling,Low,9.5,True,False,False
C116703,2024-01-06,UK,Call,Merchant Services,Delayed dispute resolution,High,4.2,True,False,False
C113729,2024-01-06,US,Call,Card Services,Fraud/unauthorized charge handling,Medium,7.4,True,True,False
C106862,2024-01-06,US,Call,Merchant Services,Agent miscommunication,Low,1.2,True,False,False
C147367,2024-01-06,US,Email,Rewards & Membership,Billing/charge discrepancy,Medium,2.1,True,False,True
C138525,2024-01-06,IN,Call,Rewards & Membership,Billing/charge discrepancy,Low,2.8,True,False,False
C107036,2024-01-06,MX,Chat,Merchant Services,Delayed dispute resolution,Low,17.3,True,False,True
C117987,2024-01-06,UK,Call,Billing & Statements,Fraud/unauthorized charge handling,Low,21.8,True,False,False
C130812,2024-01-06,UK,Social,Digital/App,App/digital platform bug,Low,11.4,True,False,False
C106071,2024-01-06,MX,Email,Billing & Statements,Agent miscommunication,Low,5.3,True,False,True
C101293,2024-01-06,US,Social,Digital/App,Fraud/unauthorized charge handling,Low,4.2,True,False,False
C111945,2024-01-06,US,Email,Digital/App,Billing/charge discrepancy,Medium,1.5,True,False,False
C124252,2024-01-06,CA,Call,Card Services,Billing/charge discrepancy,High,1.6,True,False,False
C107292,2024-01-06,IN,Call,Travel & Lifestyle,Agent miscommunication,Low,4.0,True,False,False
C132995,2024-01-06,AU,Call,Billing & Statements,Agent miscommunication,Low,13.4,True,False,False
C138210,2024-01-06,SG,Chat,Rewards & Membership,Billing/charge discrepancy,Low,4.6,True,False,False
C119757,2024-01-06,SG,Call,Travel & Lifestyle,Billing/charge discrepancy,Medium,5.6,True,False,False
C110787,2024-01-06,US,Chat,Merchant Services,Delayed dispute resolution,High,7.4,True,False,False
C132950,2024-01-07,IN,Call,Merchant Services,Agent miscommunication,Low,6.9,True,False,False
C112085,2024-01-07,US,Chat,Merchant Services,Fraud/unauthorized charge handling,Low,5.9,True,False,False
C127169,2024-01-07,US,Email,Digital/App,Rewards/points not credited,Medium,1.3,True,False,False
C143879,2024-01-07,UK,Call,Billing & Statements,App/digital platform bug,Medium,34.7,True,True,False
C103169,2024-01-07,AU,Call,Card Services,Fraud/unauthorized charge handling,Medium,2.1,True,True,False
C110050,2024-01-07,IN,Call,Travel & Lifestyle,Delayed dispute resolution,Medium,11.5,True,False,False
C127887,2024-01-07,US,Chat,Travel & Lifestyle,Fraud/unauthorized charge handling,High,4.7,True,True,False
C143994,2024-01-07,AU,Call,Billing & Statements,Rewards/points not credited,High,10.2,True,False,False
C146425,2024-01-07,CA,Call,Digital/App,Agent miscommunication,Low,6.4,True,False,True
C101708,2024-01-07,US,Chat,Rewards & Membership,Fraud/unauthorized charge handling,High,1.2,True,True,False
C111834,2024-01-07,CA,Call,Card Services,Rewards/points not credited,Medium,2.7,True,False,False
C111852,2024-01-07,US,Email,Card Services,Delayed dispute resolution,Low,0.5,True,False,True
C116266,2024-01-07,AU,Social,Travel & Lifestyle,App/digital platform bug,Low,23.7,True,False,False
C146475,2024-01-07,US,Call,Card Services,Other,Low,1.5,True,False,True
C140674,2024-01-07,MX,Chat,Billing & Statements,Delayed dispute resolution,Low,2.2,True,False,False
C111564,2024-01-07,CA,Social,Travel & Lifestyle,App/digital platform bug,Low,1.8,True,False,False
C141519,2024-01-07,IN,Call,Merchant Services,Agent miscommunication,Low,4.7,True,False,False
C127012,2024-01-07,UK,Social,Billing & Statements,Agent miscommunication,Low,1.3,True,False,False
C149853,2024-01-07,AU,Call,Card Services,Delayed dispute resolution,Low,3.0,True,False,False
C102276,2024-01-07,MX,Email,Digital/App,Billing/charge discrepancy,Medium,4.1,True,False,False
